latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
,,,,,,,,,,,,,,,,,1418632742489804800,2021-07-23T18:03:24.000Z,pearlpangea,persephone,sub rosa 💒,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/XvMFlwHTTU"", ""expanded_url"": ""https://www.instagram.com/pearlpanacea/"", ""display_url"": ""instagram.com/pearlpanacea/""}]",,1596588430825525253,https://pbs.twimg.com/profile_images/1599560975056863233/8vzVxvfm_normal.jpg,False,86,262,0,638,https://t.co/XvMFlwHTTU,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1522850541256159232,2022-05-07T08:07:29.000Z,chronicwest,sophie,super awesome and cool and amazing and perfect,,,,,,,1534414077384003584,https://pbs.twimg.com/profile_images/1522853348357013505/VNEp7HzJ_normal.jpg,False,6,27,0,102,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1299486412241158144,2020-08-28T23:18:07.000Z,swanmaiden20,🦢❄️,beauty prevails,,,,,,,1474826144490745858,https://pbs.twimg.com/profile_images/1576677554022363136/dqGA1a8K_normal.jpg,False,447,375,0,504,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1598791517249933317,2022-12-02T21:30:00.000Z,p8stieSales,p8stie Sales Rep,Intern at @p8stie who will not stop until they hit their sales goal,,,"[{""start"": 10, ""end"": 17, ""username"": ""p8stie""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/DAwSO2578l"", ""expanded_url"": ""https://linktr.ee/p8stie"", ""display_url"": ""linktr.ee/p8stie""}]",P8stie Co,,https://pbs.twimg.com/profile_images/1598791657650065409/yEs_v17x_normal.jpg,False,3,5,0,7,https://t.co/DAwSO2578l,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,9.999464,0.0,346.0,"Wed, 07 Dec 2022 00:00:00 GMT",39823634.0,0.8173022,0.0,,1474.0,1652.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,346.0,Effective Altruism,"Fri, 02 Dec 2022 15:37:08 GMT",1329314515272404993,2020-11-19T06:44:30.000Z,er1enney0ung,🍊éri,𝖒𝖎𝖘𝖈𝖍i𝖊𝖛𝖔𝖚𝖘神道milf𝖓𝖞𝖒𝖕𝖍 ( ͡°ᴥ ͡° ʋ),,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/upqvN440vM"", ""expanded_url"": ""http://idonotexist.com"", ""display_url"": ""idonotexist.com""}]",januis clausis,1509307732901302276,https://pbs.twimg.com/profile_images/1522629396418285570/vuSJxgGK_normal.jpg,False,801,473,8,7106,https://t.co/upqvN440vM,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,24.333952,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39942224.0,0.94146544,0.0,,1396.0,1616.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",1329314515272404993,2020-11-19T06:44:30.000Z,er1enney0ung,🍊éri,𝖒𝖎𝖘𝖈𝖍i𝖊𝖛𝖔𝖚𝖘神道milf𝖓𝖞𝖒𝖕𝖍 ( ͡°ᴥ ͡° ʋ),,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/upqvN440vM"", ""expanded_url"": ""http://idonotexist.com"", ""display_url"": ""idonotexist.com""}]",januis clausis,1509307732901302276,https://pbs.twimg.com/profile_images/1522629396418285570/vuSJxgGK_normal.jpg,False,801,473,8,7106,https://t.co/upqvN440vM,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,6.3406057,0.0,66.0,"Wed, 07 Dec 2022 00:00:00 GMT",40820235.0,0.45691034,0.0,,13804.0,17941.0,0.0,"Tue, 16 Nov 2021 11:37:39 GMT",,66.0,Crypto,"Tue, 16 Nov 2021 11:37:39 GMT",1519594215352668160,2022-04-28T08:27:53.000Z,HotForMoot,Riley Read-Only,I’m a software engineer at one of Canada’s top tech companies with really good TC. Internet veteran. (((Club Member))),,,,,,,1522781842541215744,https://pbs.twimg.com/profile_images/1522767722727108608/Vd0ri2Mu_normal.jpg,False,3715,1084,28,3993,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1586512384830722049,2022-10-30T00:16:54.000Z,celticharlot,elysia,doot doot,,,,,,"Cork, Ireland",1599124601241419777,https://pbs.twimg.com/profile_images/1600153809648492546/2PYw7x29_normal.jpg,False,111,83,0,1103,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,1.4341455,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39895232.0,0.88371235,0.0,,2504.0,3042.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",1087846166358884357,2019-01-22T22:55:12.000Z,BLUNDERBUSSTED,𝐁𝐄𝐀𝐒𝐓,☉ DEUS RIDET ☉ MEMENTO TE BESTIAM ☉ MAGISTRATUS DELENDA EST ☉,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/6QO2tqDAWo"", ""expanded_url"": ""https://medium.com/@blunderbusspress"", ""display_url"": ""medium.com/@blunderbusspr\u2026""}]",,1456016134189338629,https://pbs.twimg.com/profile_images/1207820990668918784/jMAGpNsy_normal.jpg,False,1487,704,21,29614,https://t.co/6QO2tqDAWo,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,50.07188,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39941693.0,0.94303024,0.0,,935.0,1085.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",1087846166358884357,2019-01-22T22:55:12.000Z,BLUNDERBUSSTED,𝐁𝐄𝐀𝐒𝐓,☉ DEUS RIDET ☉ MEMENTO TE BESTIAM ☉ MAGISTRATUS DELENDA EST ☉,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/6QO2tqDAWo"", ""expanded_url"": ""https://medium.com/@blunderbusspress"", ""display_url"": ""medium.com/@blunderbusspr\u2026""}]",,1456016134189338629,https://pbs.twimg.com/profile_images/1207820990668918784/jMAGpNsy_normal.jpg,False,1487,704,21,29614,https://t.co/6QO2tqDAWo,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
